TAG2	AT1TE76620	99.139	2438	21	0	657	3094	4	2441	0.0	4386
TAG2	AT1TE08240	98.996	2092	21	0	657	2748	311	2402	0.0	3747
TAG2	AT1TE08240	90.950	221	20	0	1	221	1	221	1.56e-82	298
TAG2	AT1TE08240	93.125	160	9	2	2936	3094	2597	2755	4.46e-63	233
TAG2	AT5TE56560	99.239	1708	13	0	1041	2748	340	2047	0.0	3083
TAG2	AT5TE56560	92.273	220	17	0	2	221	1	220	5.57e-87	313
TAG2	AT5TE56560	93.168	161	9	2	2935	3094	2252	2411	1.24e-63	235
TAG2	AT3TE46170	99.681	939	3	0	2156	3094	890	1828	0.0	1718
TAG2	AT3TE46170	98.928	373	4	0	301	673	347	719	0.0	667
TAG2	AT3TE46170	99.029	309	1	1	1	307	1	309	3.01e-159	553
TAG2	AT3TE46170	98.936	188	2	0	1882	2069	705	892	3.30e-94	337
TAG2	AT1TE18370	99.162	597	5	0	657	1253	328	924	0.0	1075
TAG2	AT1TE18370	98.604	573	8	0	2176	2748	975	1547	0.0	1014
TAG2	AT1TE18370	90.909	220	20	0	2	221	1	220	5.61e-82	296
TAG2	AT1TE18370	100.000	30	0	0	2107	2136	936	965	1.04e-09	56.5
TAG2	AT1TE20315	98.995	597	6	0	657	1253	311	907	0.0	1070
TAG2	AT1TE20315	95.639	642	11	12	2107	2748	919	1543	0.0	1014
TAG2	AT1TE20315	92.308	221	17	0	1	221	1	221	1.55e-87	315
TAG2	AT1TE20315	93.125	160	9	2	2936	3094	1588	1746	4.46e-63	233
TAG2	AT5TE49065	98.050	359	7	0	302	660	338	696	0.0	625
TAG2	AT5TE49065	93.811	307	11	3	1	307	1	299	8.74e-130	455
TAG2	AT5TE49065	87.248	149	7	5	2947	3094	697	834	7.67e-41	159
TAG2	AT1TE91400	97.778	360	7	1	301	660	337	695	2.93e-179	619
TAG2	AT1TE91400	93.160	307	13	3	1	307	1	299	1.89e-126	444
TAG2	AT1TE91400	91.875	160	11	2	2936	3094	701	859	9.65e-60	222
TAG2	AT2TE09085	97.000	300	4	1	1	295	1	300	3.98e-143	499
TAG2	AT2TE09085	91.875	160	11	2	2936	3094	420	578	9.65e-60	222
TAG2	AT1TE36605	89.973	369	26	10	301	666	345	705	4.04e-133	466
TAG2	AT1TE36605	85.882	255	15	4	74	307	53	307	1.23e-68	252
TAG2	AT1TE36605	93.125	160	9	2	2936	3094	725	883	4.46e-63	233
TAG2	AT2TE47790	90.393	229	11	3	301	528	168	386	2.61e-80	291
TAG2	AT2TE47790	100.000	29	0	0	532	560	410	438	3.73e-09	54.7
TAG2	AT1TE18385	93.125	160	9	2	2936	3094	20	178	4.46e-63	233
TAG2	AT4TE57005	96.262	107	1	1	2799	2902	1	107	9.86e-45	172
TAG2	AT2TE55520	93.478	46	3	0	2703	2748	1	46	1.33e-13	69.4
