AT2TE26315	2	6446778	6450277	+
AT3TE62570	3	15413166	15416640	+
AT1TE70805	1	21450132	21455990	-
AT1TE83175	1	25343349	25343969	-
AT3TE53630	3	13097961	13104012	+
AT4TE50675	4	11045871	11046232	+
AT4TE50995	4	11111694	11114359	-
AT1TE08240	1	2531451	2534781	-
AT1TE18370	1	5679268	5681449	+
AT1TE18385	1	5681696	5681873	+
AT1TE20315	1	6273523	6276128	-
AT1TE36605	1	11315041	11316663	-
AT1TE76620	1	23240232	23242673	-
AT1TE91400	1	27932606	27933669	+
AT2TE09085	2	1968287	1968946	-
AT2TE47790	2	11081250	11081712	+
AT2TE55520	2	12701346	12701473	-
AT3TE46170	3	11097260	11099626	+
AT4TE57005	4	12271427	12271602	+
AT5TE49065	5	13777169	13778212	+
AT5TE56560	5	15636219	15639175	-
AT1TE44765	1	13676765	13677268	+
AT1TE44775	1	13682262	13682800	+
AT1TE45800	1	13950718	13955653	-
AT1TE45815	1	13959438	13961274	-
AT1TE46635	1	14196923	14206946	-
AT1TE48045	1	14600112	14602815	+
AT1TE51600	1	15662679	15663195	+
AT1TE51615	1	15665056	15674411	+
AT1TE53315	1	16174271	16174793	+
AT1TE54805	1	16626037	16637234	-
AT2TE11050	2	2418614	2423173	+
AT2TE12430	2	2829969	2830453	+
AT2TE17550	2	4148680	4149237	+
AT2TE18830	2	4490651	4500765	-
AT2TE18880	2	4511482	4512019	-
AT2TE20435	2	4978469	4990075	+
AT2TE20450	2	4993955	4995953	+
AT2TE20735	2	5040995	5048412	+
AT2TE20960	2	5100093	5111544	+
AT2TE21760	2	5365116	5381127	-
AT2TE21765	2	5367815	5377537	-
AT2TE22265	2	5501965	5502507	-
AT2TE22345	2	5528712	5534059	-
AT3TE50890	3	12288029	12294708	+
AT3TE51260	3	12383123	12383634	+
AT3TE51535	3	12491769	12502153	-
AT3TE54780	3	13440046	13449244	-
AT3TE57060	3	13878028	13882805	+
AT3TE61190	3	15005072	15005150	+
AT4TE09385	4	1943751	1955321	+
AT4TE13555	4	2910713	2916492	-
AT4TE14185	4	3061551	3065198	-
AT4TE14330	4	3103411	3111525	-
AT4TE15475	4	3395561	3401983	-
AT4TE16165	4	3621332	3629520	+
AT4TE16725	4	3784416	3794425	+
AT4TE17065	4	3902306	3903578	+
AT4TE18500	4	4356088	4373281	+
AT4TE18570	4	4375263	4375377	+
AT4TE19830	4	4722731	4729735	-
AT4TE21090	4	5063538	5074228	-
AT5TE41110	5	11345339	11352731	-
AT5TE44705	5	12613443	12613976	-
AT5TE45090	5	12754604	12764996	-
AT5TE45105	5	12766843	12768066	-
AT5TE45115	5	12769620	12776835	-
AT5TE45125	5	12777020	12777234	+
AT5TE46075	5	12938617	12939146	-
AT5TE46090	5	12940569	12944561	-
AT5TE46105	5	12948319	12951060	+
